Index,Zeit[s],Drehzahl[1/min],Generatorspannung[V],Motorspannung[V],Strommessung[A],Temperatur[C]
1, 0.0000, 0.8518, -0.0232, 0.0274, 0.0010, 20.4706
2, 0.0005, 0.2839, -0.0232, 0.0020, 0.0010, 20.4706
3, 0.0010, 0.8518, -0.0281, -0.0005, 0.0031, 20.4706
4, 0.0015, 0.8518, -0.0183, 0.0044, -0.0010, 20.4706
5, 0.0020, 1.4196, -0.0134, 0.0020, 0.0010, 20.4706
6, 0.0025, 1.4196, -0.0061, 0.0274, 0.0010, 20.4706
7, 0.0030, 1.4196, -0.0012, 0.0274, 0.0010, 20.4706
8, 0.0035, 0.8518, 0.0037, 0.0186, 0.0031, 20.4706
9, 0.0040, 0.2839, 0.0085, 0.0210, 0.0010, 20.4706
10, 0.0045, 1.4196, 0.0183, 0.0274, 0.0010, 20.4706
11, 0.0050, 0.2839, 0.0232, 0.0083, 0.0010, 20.4706
12, 0.0055, 0.2839, 0.0110, -0.0122, -0.0031, 20.4706
13, 0.0060, 0.0000, 0.0183, 0.0083, 0.0010, 20.4706
14, 0.0065, 0.0000, 0.0330, -0.0005, 0.0031, 20.4706
15, 0.0070, 0.2839, 0.0281, 0.0249, 0.0031, 20.4706
16, 0.0075, 0.2839, 0.0378, 0.0274, 0.0010, 20.4706
17, 0.0080, 0.8518, 0.0354, -0.0068, 0.0031, 20.4707
18, 0.0085, 0.2839, 0.0281, -0.0107, 0.0010, 20.4707
19, 0.0090, 0.2839, 0.0256, 0.0020, 0.0010, 20.4707
20, 0.0095, 0.2839, 0.0330, 0.0210, 0.0010, 20.4707
21, 0.0100, 0.2839, 0.0256, -0.0147, -0.0010, 20.4707
22, 0.0105, 0.0000, 0.0256, -0.0171, 0.0010, 20.4707
23, 0.0110, 1.4196, 0.0281, 0.0249, 0.0031, 20.4707
24, 0.0115, 0.8518, 0.0159, 0.0068, -0.0031, 20.4707
25, 0.0120, 0.0000, 0.0110, 0.0020, 0.0010, 20.4707
26, 0.0125, 0.2839, 0.0110, 0.0249, 0.0031, 20.4707
27, 0.0130, 0.2839, 0.0012, -0.0122, -0.0031, 20.4707
28, 0.0135, 0.8518, -0.0012, -0.0147, -0.0010, 20.4707
29, 0.0140, 0.0000, -0.0061, 0.0020, 0.0010, 20.4707
30, 0.0145, 0.2839, -0.0110, 0.0337, 0.0010, 20.4707
31, 0.0150, 1.4196, -0.0159, 0.0068, -0.0031, 20.4707
32, 0.0155, 0.2839, -0.0183, -0.0171, 0.0010, 20.4707
33, 0.0160, 0.2839, -0.0256, -0.0147, -0.0010, 20.4707
34, 0.0165, 0.0000, -0.0354, -0.0147, -0.0010, 20.4707
35, 0.0170, 0.0000, -0.0281, -0.0005, 0.0031, 20.4707
36, 0.0175, 0.2839, -0.0354, 0.0249, 0.0031, 20.4707
37, 0.0180, 0.2839, -0.0305, 0.0274, 0.0010, 20.4707
38, 0.0185, 0.8518, -0.0256, 0.0020, 0.0010, 20.4708
39, 0.0190, 1.4196, -0.0281, -0.0020, -0.0010, 20.4708
40, 0.0195, 0.0000, -0.0354, 0.0005, -0.0031, 20.4708
41, 0.0200, 0.0000, -0.0305, -0.0171, 0.0010, 20.4708
42, 0.0205, 0.2839, -0.0256, 0.0274, 0.0010, 20.4708
43, 0.0210, 0.2839, -0.0281, -0.0005, 0.0031, 20.4708
44, 0.0215, 0.2839, -0.0183, 0.0249, 0.0031, 20.4708
45, 0.0220, 0.2839, -0.0134, 0.0249, 0.0031, 20.4708
46, 0.0225, 0.2839, -0.0061, 0.0274, 0.0010, 20.4708
47, 0.0230, 0.8518, -0.0037, 0.0068, -0.0031, 20.4708
48, 0.0235, 0.8518, 0.0012, -0.0171, 0.0010, 20.4708
49, 0.0240, 0.2839, 0.0012, -0.0083, -0.0010, 20.4708
50, 0.0245, 0.0000, 0.0134, 0.0020, 0.0010, 20.4708
51, 0.0250, 0.0000, 0.0159, 0.0274, 0.0010, 20.4708
52, 0.0255, 0.2839, 0.0159, 0.0186, 0.0031, 20.4708
53, 0.0260, 0.2839, 0.0232, 0.0210, 0.0010, 20.4708
54, 0.0265, 1.4196, 0.0378, 0.0020, 0.0010, 20.4708
55, 0.0270, 0.8518, 0.0256, 0.0107, -0.0010, 20.4708
56, 0.0275, 0.2839, 0.0330, 0.0020, 0.0010, 20.4708
57, 0.0280, 0.8518, 0.0354, 0.0044, -0.0010, 20.4708
58, 0.0285, 0.2839, 0.0305, 0.0020, 0.0010, 20.4708
59, 0.0290, 0.2839, 0.0281, -0.0147, -0.0010, 20.4709
60, 0.0295, 0.2839, 0.0281, -0.0107, 0.0010, 20.4709
