Index,Zeit[s],Drehzahl[1/min],Generatorspannung[V],Motorspannung[V],Strommessung[A],Temperatur[C]
1, 0.0000, 0.0000, 0.0232, -0.0171, 0.0010, 20.4585
2, 0.0005, 0.2839, 0.0354, 0.0020, 0.0010, 20.4585
3, 0.0010, 0.2839, 0.0378, 0.0337, 0.0010, 20.4586
4, 0.0015, 0.8518, 0.0305, 0.0020, 0.0010, 20.4586
5, 0.0020, 0.2839, 0.0305, 0.0005, -0.0031, 20.4587
6, 0.0025, 0.0000, 0.0281, 0.0020, 0.0010, 20.4587
7, 0.0030, 0.2839, 0.0208, -0.0005, 0.0031, 20.4588
8, 0.0035, 0.8518, 0.0305, 0.0020, 0.0010, 20.4588
9, 0.0040, 0.2839, 0.0232, -0.0122, -0.0031, 20.4589
10, 0.0045, 0.2839, 0.0159, 0.0274, 0.0010, 20.4589
11, 0.0050, 0.2839, 0.0159, 0.0274, 0.0010, 20.4590
12, 0.0055, 0.8518, 0.0110, 0.0020, 0.0010, 20.4590
13, 0.0060, 0.8518, 0.0061, 0.0068, -0.0031, 20.4591
14, 0.0065, 0.0000, 0.0012, -0.0083, -0.0010, 20.4591
15, 0.0070, 0.0000, -0.0085, -0.0107, 0.0010, 20.4592
16, 0.0075, 0.2839, -0.0159, 0.0083, 0.0010, 20.4592
17, 0.0080, 0.8518, -0.0159, 0.0274, 0.0010, 20.4593
18, 0.0085, 1.4196, -0.0134, 0.0020, 0.0010, 20.4593
19, 0.0090, 0.2839, -0.0256, -0.0122, -0.0031, 20.4594
20, 0.0095, 0.0000, -0.0354, -0.0171, 0.0010, 20.4594
21, 0.0100, 0.0000, -0.0281, 0.0020, 0.0010, 20.4595
22, 0.0105, 0.2839, -0.0305, 0.0274, 0.0010, 20.4595
23, 0.0110, 0.8518, -0.0330, 0.0020, 0.0010, 20.4596
24, 0.0115, 0.2839, -0.0305, -0.0147, -0.0010, 20.4596
25, 0.0120, 0.2839, -0.0281, 0.0274, 0.0010, 20.4597
26, 0.0125, 0.8518, -0.0281, 0.0020, 0.0010, 20.4597
27, 0.0130, 0.2839, -0.0256, -0.0171, 0.0010, 20.4598
28, 0.0135, 0.8518, -0.0281, 0.0249, 0.0031, 20.4598
29, 0.0140, 0.8518, -0.0281, 0.0044, -0.0010, 20.4599
30, 0.0145, 0.2839, -0.0232, -0.0171, 0.0010, 20.4599
31, 0.0150, 0.2839, -0.0183, -0.0044, 0.0010, 20.4600
32, 0.0155, 0.2839, -0.0061, 0.0249, 0.0031, 20.4600
33, 0.0160, 0.2839, 0.0012, 0.0274, 0.0010, 20.4601
34, 0.0165, 0.8518, 0.0037, 0.0044, -0.0010, 20.4601
35, 0.0170, 0.8518, 0.0061, 0.0068, -0.0031, 20.4602
36, 0.0175, 0.2839, 0.0159, 0.0020, 0.0010, 20.4602
37, 0.0180, 0.2839, 0.0134, -0.0171, 0.0010, 20.4603
38, 0.0185, 0.0000, 0.0134, 0.0020, 0.0010, 20.4603
39, 0.0190, 0.2839, 0.0232, 0.0249, 0.0031, 20.4604
40, 0.0195, 0.2839, 0.0330, 0.0274, 0.0010, 20.4604
41, 0.0200, 0.2839, 0.0281, 0.0020, 0.0010, 20.4605
42, 0.0205, 0.8518, 0.0330, 0.0068, -0.0031, 20.4605
43, 0.0210, 0.8518, 0.0354, -0.0147, -0.0010, 20.4606
44, 0.0215, 1.4196, 0.0281, 0.0068, -0.0031, 20.4606
45, 0.0220, 0.8518, 0.0354, 0.0020, 0.0010, 20.4607
46, 0.0225, 0.2839, 0.0354, 0.0186, 0.0031, 20.4607
47, 0.0230, 0.8518, 0.0232, 0.0298, -0.0010, 20.4608
48, 0.0235, 0.8518, 0.0281, 0.0249, 0.0031, 20.4608
49, 0.0240, 0.2839, 0.0281, -0.0005, 0.0031, 20.4609
50, 0.0245, 0.2839, 0.0159, 0.0020, 0.0010, 20.4609
51, 0.0250, 0.0000, 0.0134, -0.0005, 0.0031, 20.4610
52, 0.0255, 0.2839, 0.0012, 0.0020, 0.0010, 20.4610
53, 0.0260, 0.0000, 0.0037, -0.0005, 0.0031, 20.4611
54, 0.0265, 0.0000, 0.0037, 0.0059, 0.0031, 20.4611
55, 0.0270, 0.0000, -0.0110, 0.0020, 0.0010, 20.4612
56, 0.0275, 0.0000, -0.0208, -0.0195, 0.0031, 20.4612
57, 0.0280, 0.0000, -0.0208, 0.0020, 0.0010, 20.4613
58, 0.0285, 0.8518, -0.0159, -0.0005, 0.0031, 20.4613
59, 0.0290, 0.2839, -0.0232, -0.0005, 0.0031, 20.4614
60, 0.0295, 0.2839, -0.0330, -0.0005, 0.0031, 20.4614
61, 0.0300, 0.8518, -0.0281, 0.0083, 0.0010, 20.4615
62, 0.0305, 0.0000, -0.0354, 0.0020, 0.0010, 20.4615
63, 0.0310, 0.0000, -0.0403, 0.0020, 0.0010, 20.4616
64, 0.0315, 0.2839, -0.0330, -0.0171, 0.0010, 20.4616
65, 0.0320, 0.0000, -0.0330, -0.0122, -0.0031, 20.4617
66, 0.0325, 0.2839, -0.0354, -0.0147, -0.0010, 20.4617
67, 0.0330, 0.0000, -0.0232, -0.0083, -0.0010, 20.4618
68, 0.0335, 0.8518, -0.0281, -0.0147, -0.0010, 20.4618
69, 0.0340, 0.2839, -0.0281, -0.0059, -0.0031, 20.4619
70, 0.0345, 0.2839, -0.0208, -0.0171, 0.0010, 20.4619
71, 0.0350, 0.0000, -0.0208, 0.0020, 0.0010, 20.4620
72, 0.0355, 0.2839, -0.0012, 0.0249, 0.0031, 20.4620
73, 0.0360, 0.8518, 0.0061, 0.0020, 0.0010, 20.4621
74, 0.0365, 0.2839, -0.0037, -0.0107, 0.0010, 20.4621
75, 0.0370, 0.2839, 0.0061, 0.0020, 0.0010, 20.4622
76, 0.0375, 0.2839, 0.0183, 0.0210, 0.0010, 20.4622
77, 0.0380, 0.2839, 0.0183, -0.0171, 0.0010, 20.4623
78, 0.0385, 0.8518, 0.0134, -0.0147, -0.0010, 20.4623
79, 0.0390, 0.0000, 0.0232, -0.0147, -0.0010, 20.4624
80, 0.0395, 0.0000, 0.0330, 0.0020, 0.0010, 20.4624
81, 0.0400, 0.2839, 0.0305, -0.0005, 0.0031, 20.4625
82, 0.0405, 0.2839, 0.0330, 0.0186, 0.0031, 20.4625
83, 0.0410, 0.0000, 0.0330, -0.0005, 0.0031, 20.4626
84, 0.0415, 0.2839, 0.0281, 0.0020, 0.0010, 20.4626
85, 0.0420, 0.0000, 0.0330, 0.0083, 0.0010, 20.4627
86, 0.0425, 0.0000, 0.0281, -0.0122, -0.0031, 20.4627
87, 0.0430, 0.2839, 0.0183, -0.0107, 0.0010, 20.4628
88, 0.0435, 0.0000, 0.0256, -0.0122, -0.0031, 20.4628
89, 0.0440, 0.2839, 0.0256, -0.0171, 0.0010, 20.4629
90, 0.0445, 0.0000, 0.0134, 0.0020, 0.0010, 20.4629
91, 0.0450, 0.2839, 0.0159, 0.0059, 0.0031, 20.4630
92, 0.0455, 1.4196, 0.0085, 0.0020, 0.0010, 20.4630
93, 0.0460, 0.8518, 0.0012, 0.0132, -0.0031, 20.4631
94, 0.0465, 0.0000, -0.0012, -0.0083, -0.0010, 20.4631
95, 0.0470, 0.2839, -0.0037, 0.0249, 0.0031, 20.4632
96, 0.0475, 0.8518, -0.0134, 0.0186, 0.0031, 20.4632
97, 0.0480, 0.8518, -0.0183, 0.0083, 0.0010, 20.4633
98, 0.0485, 0.2839, -0.0183, -0.0171, 0.0010, 20.4633
99, 0.0490, 0.8518, -0.0281, 0.0132, -0.0031, 20.4634
100, 0.0495, 0.2839, -0.0305, 0.0044, -0.0010, 20.4634
101, 0.0500, 0.8518, -0.0281, 0.0068, -0.0031, 20.4635
102, 0.0505, 0.0000, -0.0427, -0.0122, -0.0031, 20.4635
103, 0.0510, 0.2839, -0.0403, -0.0171, 0.0010, 20.4636
104, 0.0515, 0.2839, -0.0281, -0.0147, -0.0010, 20.4636
105, 0.0520, 0.2839, -0.0305, 0.0132, -0.0031, 20.4637
106, 0.0525, 0.2839, -0.0403, -0.0171, 0.0010, 20.4637
107, 0.0530, 0.2839, -0.0232, 0.0132, -0.0031, 20.4638
108, 0.0535, 0.0000, -0.0281, -0.0147, -0.0010, 20.4638
109, 0.0540, 0.2839, -0.0281, -0.0171, 0.0010, 20.4639
110, 0.0545, 0.2839, -0.0183, -0.0044, 0.0010, 20.4639
111, 0.0550, 0.2839, -0.0110, 0.0274, 0.0010, 20.4640
112, 0.0555, 0.2839, -0.0012, -0.0147, -0.0010, 20.4640
113, 0.0560, 0.2839, -0.0061, -0.0171, 0.0010, 20.4641
114, 0.0565, 0.2839, 0.0012, 0.0249, 0.0031, 20.4641
115, 0.0570, 1.4196, 0.0085, 0.0083, 0.0010, 20.4642
116, 0.0575, 0.8518, 0.0183, 0.0044, -0.0010, 20.4642
117, 0.0580, 0.8518, 0.0159, 0.0068, -0.0031, 20.4643
