"time","motormodellAufgabe3_me_FMU.N","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha"
0,1000,0,60
0.01,1000,0,60
0.02,1000,0.6692206047660986,60
0.03,1000,1.64089197439284,60
0.04,1000,1.8713304812244347,60
0.05,1000,3.1715490425273103,60
0.06,1000,4.897311373967296,60
0.07,1000,5.737701294956979,60
0.08,1000,6.770461753857936,60
0.09,1000,8.765762748381178,60
0.1,1000,11.473363894497659,60
0.11,1000,13.030025086483931,60
0.12,1000,15.88041373490811,60
0.13,1000,18.76617851145794,60
0.14,1000,21.67584876701621,60
0.15,1000,23.323320710329778,60
0.16,1000,27.17069549212065,60
0.17,1000,28.130451564160246,60
0.18,1000,32.004425578989576,60
0.19,1000,34.298811082515975,60
0.2,1000,37.97656017209038,60
0.21,1000,41.26611411336248,60
0.22,1000,44.083028314267196,60
0.23,1000,46.74835394992356,60
0.24,1000,51.4937797812578,60
0.25,1000,53.7187792682127,60
0.26,1000,55.945667310464664,60
0.27,1000,59.53442487056053,60
0.28,1000,62.1210882240099,60
0.29,1000,64.95085268959606,60
0.3,1000,68.4830164796615,60
0.31,1000,72.03047129026811,60
0.32,1000,73.34405383472013,60
0.33,1000,76.50957445236905,60
0.34,1000,79.17163444065457,60
0.35,1000,82.53839381614614,60
0.36,1000,85.1750804818786,60
0.37,1000,87.0664771662445,60
0.38,1000,89.67216671821672,60
0.39,1000,91.58621203982256,60
0.4,1000,94.90125469987316,60
0.41,1000,97.47184118226724,60
0.42,1000,98.69711520342011,60
0.43,1000,101.41674193797972,60
0.44,1000,102.76149620165752,60
0.45,1000,105.67674065717588,60
0.46,1000,107.2361605251307,60
0.47,1000,109.47312743226844,60
0.48,1000,109.86281081242106,60
0.49,1000,111.56021007761038,60
0.5,1000,113.27537931712318,60
0.51,1000,114.98066628262644,60
0.52,1000,116.10894600342158,60
0.53,1000,117.36092955425266,60
0.54,1000,119.41558910475024,60
0.55,1000,120.840825197595,60
0.56,1000,121.95553498686759,60
0.57,1000,122.87745202193703,60
0.58,1000,123.99115093070345,60
0.59,1000,125.1626065959395,60
0.6,1000,125.69479608822856,60
0.61,1000,125.63627995947692,60
0.62,1000,127.66325253961524,60
0.63,1000,127.03043751591876,60
0.64,1000,128.15761893597926,60
0.65,1000,128.70752713296062,60
0.66,1000,128.7331423792552,60
0.67,1000,130.1362133701428,60
0.68,1000,130.44043996896875,60
0.69,1000,130.08014992759834,60
0.7,1000,129.97441933476193,60
0.71,1000,130.81960805595634,60
0.72,1000,130.84369194287876,60
0.73,1000,130.96725443691557,60
0.74,1000,130.19506164426568,60
0.75,1000,131.35244661497467,60
0.76,1000,131.05948751987532,60
0.77,1000,132.11914209814105,60
0.78,1000,131.5037495932874,60
0.79,1000,130.7917747762934,60
0.8,1000,130.8448023237227,60
0.81,1000,131.88846750288064,60
0.82,1000,131.1016504197781,60
0.83,1000,131.15868362845453,60
0.84,1000,130.73764725735322,60
0.85,1000,131.27080453261934,60
0.86,1000,129.63173282777,60
0.87,1000,129.92801049981503,60
0.88,1000,130.2496336952385,60
0.89,1000,128.94496416912253,60
0.9,1000,129.1954619660485,60
0.91,1000,129.47025676807925,60
0.92,1000,129.1662337301792,60
0.93,1000,128.38558906678907,60
0.94,1000,128.26357190140047,60
0.95,1000,128.0054182142793,60
0.96,1000,127.794843494491,60
0.97,1000,127.87178150037548,60
0.98,1000,126.72722862960161,60
0.99,1000,126.03831178296228,60
1,1000,126.53548716762116,60
1.01,1000,125.3727815660812,60
1.02,1000,125.50581478074618,60
1.03,1000,124.9485640516711,60
1.04,1000,124.90900545947399,60
1.05,1000,125.18835519873682,60
1.06,1000,124.60181403704101,60
1.07,1000,124.0875466005128,60
1.08,1000,124.12644893594566,60
1.09,1000,123.92321420709177,60
1.1,1000,122.79280199776288,60
1.11,1000,122.40507701570874,60
1.12,1000,122.5756196622327,60
1.13,1000,121.72059051337315,60
1.14,1000,122.44050759229577,60
1.15,1000,121.21171690736895,60
1.16,1000,121.06905361491506,60
1.17,1000,121.7057227461215,60
1.18,1000,120.84015623621045,60
1.19,1000,120.36807236052452,60
1.2,1000,120.77130095177249,60
1.21,1000,121.09930511449978,60
1.22,1000,120.75920028012412,60
1.23,1000,120.62963372024376,60
1.24,1000,119.89967981010209,60
1.25,1000,119.65564294803889,60
1.26,1000,120.08880866494546,60
1.27,1000,119.84690847199103,60
1.28,1000,119.01890668129982,60
1.29,1000,118.66611805588182,60
1.3,1000,119.33706558538174,60
1.31,1000,118.26607534811997,60
1.32,1000,118.24001829852101,60
1.33,1000,119.3234032549168,60
1.34,1000,118.54782941954066,60
1.35,1000,119.46745107578292,60
1.36,1000,117.86663465906301,60
1.37,1000,117.66995820321391,60
1.38,1000,118.0929149018758,60
1.39,1000,117.88387627899668,60
1.4,1000,118.18313745343808,60
1.41,1000,118.01591480492787,60
1.42,1000,117.95525212742639,60
1.43,1000,117.64723936684594,60
1.44,1000,118.2929565041019,60
1.45,1000,117.67748156676417,60
1.46,1000,116.99891754957616,60
1.47,1000,118.15282018868403,60
1.48,1000,117.63682570497008,60
1.49,1000,117.55213892584263,60
1.5,1000,117.67230877107366,60
1.51,1000,117.90825945871151,60
1.52,1000,117.00327560655458,60
1.53,1000,118.97444250566127,60
1.54,1000,116.78193025653309,60
1.55,1000,117.94684926143097,60
1.56,1000,118.11104179002514,60
1.57,1000,117.48524385579982,60
1.58,1000,118.02560678915398,60
1.59,1000,117.11477356694303,60
1.6,1000,117.95133964280177,60
1.61,1000,118.46512182040124,60
1.62,1000,117.04158465783972,60
1.63,1000,117.2652337567588,60
1.64,1000,117.79667960658146,60
1.65,1000,117.58893430567882,60
1.66,1000,118.12426629065992,60
1.67,1000,117.81377249516792,60
1.68,1000,118.57152443431286,60
1.69,1000,118.41997232066991,60
1.7,1000,117.41287498010487,60
1.71,1000,118.6351145915569,60
1.72,1000,118.00887196895715,60
1.73,1000,117.05157350977275,60
1.74,1000,117.58085453411378,60
1.75,1000,117.55884413526127,60
1.76,1000,118.51220766682948,60
1.77,1000,118.48861812035544,60
1.78,1000,118.25249960703668,60
1.79,1000,119.4821026337773,60
1.8,1000,118.74363743440365,60
1.81,1000,117.89166293344553,60
1.82,1000,118.21110430529153,60
1.83,1000,118.85162970419,60
1.84,1000,117.81911853960524,60
1.85,1000,118.62993190761671,60
1.86,1000,119.01024891280753,60
1.87,1000,117.93156766570166,60
1.88,1000,119.07559632633327,60
1.89,1000,118.33791683387322,60
1.9,1000,118.65454874306654,60
1.91,1000,119.03188948229437,60
1.92,1000,117.26730772220193,60
1.93,1000,117.91872231241084,60
1.94,1000,118.34438756161167,60
1.95,1000,118.72783928057474,60
1.96,1000,119.54718651199616,60
1.97,1000,118.38154561287094,60
1.98,1000,118.7396434576554,60
1.99,1000,118.61755483829819,60
2,1000,118.79685249468048,60
2.01,1000,118.51479365970933,60
2.02,1000,119.1866263207148,60
2.03,1000,119.43852403340045,60
2.04,1000,118.76951330393916,60
2.05,1000,119.33428578199415,60
2.06,1000,118.3463386216749,60
2.07,1000,118.76575571503946,60
2.08,1000,119.01683937741683,60
2.09,1000,118.71189510399921,60
2.1,1000,119.01055612111192,60
2.11,1000,118.6773315212818,60
