"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,40,1500
0.01,0,40,1500
0.02,0.6904706051533017,40,1500
0.03,1.703366975104826,40,1500
0.04,1.9937538572008155,40,1500
0.05,3.3714177037099082,40,1500
0.06,5.190922544762798,40,1500
0.07,6.140180753094318,40,1500
0.08,7.295793374128065,40,1500
0.09,9.426819202369138,40,1500
0.1,12.281938363088065,40,1500
0.11,13.996863847624148,40,1500
0.12,17.01524949483237,40,1500
0.13,20.077764353295347,40,1500
0.14,23.171992596411545,40,1500
0.15,25.01092008338483,40,1500
0.16,29.055772716602743,40,1500
0.17,30.218188970512124,40,1500
0.18,34.29920086319952,40,1500
0.19,36.804232628359046,40,1500
0.2,40.695502265621236,40,1500
0.21,44.20075196781926,40,1500
0.22,47.234872828725415,40,1500
0.23,50.118286130112764,40,1500
0.24,55.082084755914714,40,1500
0.25,57.525179839186514,40,1500
0.26,59.96935697950842,40,1500
0.27,63.774100290332306,40,1500
0.28,66.57498102526417,40,1500
0.29,69.61676064086622,40,1500
0.3,73.35833393991632,40,1500
0.31,77.11221891906425,40,1500
0.32,78.62890752826948,40,1500
0.33,81.9938934776905,40,1500
0.34,84.85148874358505,40,1500
0.35,88.40959048244395,40,1500
0.36,91.23318933396367,40,1500
0.37,93.30685548128412,40,1500
0.38,96.08998305628475,40,1500
0.39,98.17646917373206,40,1500
0.4,101.65881164101185,40,1500
0.41,104.39143429935095,40,1500
0.42,105.77337843352463,40,1500
0.43,108.64422609151738,40,1500
0.44,110.13468736513428,40,1500
0.45,113.1900776995997,40,1500
0.46,114.8840517158451,40,1500
0.47,117.24996617975982,40,1500
0.48,117.76299053529677,40,1500
0.49,119.57813822047015,40,1500
0.5,121.40549052545316,40,1500
0.51,123.21743475213435,40,1500
0.52,124.44689702040976,40,1500
0.53,125.79465024469313,40,1500
0.54,127.9397384106886,40,1500
0.55,129.4501431003712,40,1500
0.56,130.64485099740304,40,1500
0.57,131.64169295900635,40,1500
0.58,132.82534800868598,40,1500
0.59,134.06190184403602,40,1500
0.6,134.65444812353599,40,1500
0.61,134.65166913664163,40,1500
0.62,136.7298855000373,40,1500
0.63,136.14395115966002,40,1500
0.64,137.31378383964008,40,1500
0.65,137.90225043683742,40,1500
0.66,137.96247016707716,40,1500
0.67,139.39633256461522,40,1500
0.68,139.7276797662251,40,1500
0.69,139.39098279348764,40,1500
0.7,139.30546158567566,40,1500
0.71,140.16762004663107,40,1500
0.72,140.20557788330456,40,1500
0.73,140.34006186013394,40,1500
0.74,139.57598054646147,40,1500
0.75,140.73880828885476,40,1500
0.76,140.44876310188687,40,1500
0.77,141.50894084961536,40,1500
0.78,140.89181693510565,40,1500
0.79,140.17599009616035,40,1500
0.8,140.223176574605,40,1500
0.81,141.259140610622,40,1500
0.82,140.46288851734406,40,1500
0.83,140.50887613369056,40,1500
0.84,140.07530381055955,40,1500
0.85,140.594551809659,40,1500
0.86,138.94031124383437,40,1500
0.87,139.22027081837436,40,1500
0.88,139.52453355610726,40,1500
0.89,138.20156454897014,40,1500
0.9,138.43292358408823,40,1500
0.91,138.6878364490742,40,1500
0.92,138.3632807363111,40,1500
0.93,137.56154140935132,40,1500
0.94,137.41795264269592,40,1500
0.95,137.13783176953157,40,1500
0.96,136.90497194301332,40,1500
0.97,136.95938091468724,40,1500
0.98,135.79212543063784,40,1500
0.99,135.08039912898735,40,1500
1,135.55472138393665,40,1500
1.01,134.36917862210805,40,1500
1.02,134.47944682056416,40,1500
1.03,133.8995559836159,40,1500
1.04,133.83753160992154,40,1500
1.05,134.09463603475007,40,1500
1.06,133.48611296211277,40,1500
1.07,132.95016682721223,40,1500
1.08,132.96773043886512,40,1500
1.09,132.7435307590938,40,1500
1.1,131.5925582921477,40,1500
1.11,131.18470587655565,40,1500
1.12,131.33557934482022,40,1500
1.13,130.4613620962468,40,1500
1.14,131.16259246223393,40,1500
1.15,129.9156343381924,40,1500
1.16,129.7553384407976,40,1500
1.17,130.37492312978418,40,1500
1.18,129.49283153212338,40,1500
1.19,129.00479107299492,40,1500
1.2,129.39263878756847,40,1500
1.21,129.70584312944192,40,1500
1.22,129.3515231188753,40,1500
1.23,129.20832794833916,40,1500
1.24,128.46533233708527,40,1500
1.25,128.20883954040718,40,1500
1.26,128.63013254745908,40,1500
1.27,128.37693901576108,40,1500
1.28,127.5382181769453,40,1500
1.29,127.17527856993136,40,1500
1.3,127.83663589799251,40,1500
1.31,126.75660797009364,40,1500
1.32,126.72205656551466,40,1500
1.33,127.79748049667461,40,1500
1.34,127.01446820190952,40,1500
1.35,127.92716251322197,40,1500
1.36,126.31991779531226,40,1500
1.37,126.11729945775126,40,1500
1.38,126.53478757976336,40,1500
1.39,126.32074014169709,40,1500
1.4,126.61543834816779,40,1500
1.41,126.4440843501083,40,1500
1.42,126.37970745179352,40,1500
1.43,126.06838289978545,40,1500
1.44,126.71117581478835,40,1500
1.45,126.09314924970018,40,1500
1.46,125.41239115414976,40,1500
1.47,126.56444219038933,40,1500
1.48,126.04692351596742,40,1500
1.49,125.96102494256988,40,1500
1.5,126.0802804566592,40,1500
1.51,126.31559945798168,40,1500
1.52,125.41025189147392,40,1500
1.53,127.38130854909227,40,1500
1.54,125.18892523225232,40,1500
1.55,126.35419826839215,40,1500
1.56,126.518956098914,40,1500
1.57,125.8939211759829,40,1500
1.58,126.43523155418093,40,1500
1.59,125.52551723682231,40,1500
1.6,126.36336102132921,40,1500
1.61,126.87856738588279,40,1500
1.62,125.45658890561137,40,1500
1.63,125.68191955196897,40,1500
1.64,126.21515854576398,40,1500
1.65,126.00930708570687,40,1500
1.66,126.54662308373435,40,1500
1.67,126.23819332855541,40,1500
1.68,126.99807957361153,40,1500
1.69,126.8487226554412,40,1500
1.7,125.84387241077175,40,1500
1.71,127.06840241652826,40,1500
1.72,126.44448527099766,40,1500
1.73,125.48953954069543,40,1500
1.74,126.02119309693022,40,1500
1.75,126.00156796298015,40,1500
1.76,126.95732279714926,40,1500
1.77,126.9361242655504,40,1500
1.78,126.70239051838817,40,1500
1.79,127.93436645995259,40,1500
1.8,127.19825707323461,40,1500
1.81,126.34861637660707,40,1500
1.82,126.67036497542644,40,1500
1.83,127.3131667840717,40,1500
1.84,126.2828972929733,40,1500
1.85,127.09591399136194,40,1500
1.86,127.47839268022365,40,1500
1.87,126.40182846055879,40,1500
1.88,127.54792676756618,40,1500
1.89,126.812267090712,40,1500
1.9,127.13086680047155,40,1500
1.91,127.51012139658937,40,1500
1.92,125.74739786682981,40,1500
1.93,126.4006136137657,40,1500
1.94,126.82802172492813,40,1500
1.95,127.2131570058816,40,1500
1.96,128.03412770016553,40,1500
1.97,126.8700495618177,40,1500
1.98,127.22964904876235,40,1500
1.99,127.10900071316324,40,1500
2,127.28967722230027,40,1500
2.01,127.0089358942313,40,1500
2.02,127.68202494990571,40,1500
2.03,127.9351183179938,40,1500
2.04,127.2672430080377,40,1500
2.05,127.83309129471603,40,1500
2.06,126.84616107024242,40,1500
2.07,127.26653706952004,40,1500
2.08,127.51852254733421,40,1500
2.09,127.21442402704095,40,1500
2.1,127.51387584416572,40,1500
2.11,127.18138827403935,40,1500
2.12,127.67728907540213,40,1500
2.13,127.26655472222612,40,1500
2.14,127.34885251122812,40,1500
2.15,127.1698336878727,40,1500
2.16,128.32924598778604,40,1500
2.17,128.12987957223245,40,1500
2.18,127.37544350913645,40,1500
2.19,127.46490320119669,40,1500
2.2,127.44055665481298,40,1500
2.21,128.0254294834594,40,1500
2.22,126.96816712855046,40,1500
2.23,127.48980793287049,40,1500
2.24,127.80045929676184,40,1500
2.25,127.6422540215622,40,1500
2.26,127.41297145576058,40,1500
2.27,127.7585626534255,40,1500
2.28,127.18796023823421,40,1500
2.29,128.47406350586294,40,1500
2.3,128.04063363275554,40,1500
2.31,127.67443116922601,40,1500
2.32,128.01167322094963,40,1500
2.33,128.0132875678568,40,1500
2.34,128.31546250107382,40,1500
2.35,127.35485462190766,40,1500
2.36,126.63433890428495,40,1500
2.37,127.80015874480878,40,1500
2.38,127.76448184944265,40,1500
2.39,127.21827172108947,40,1500
2.4,127.84036369342789,40,1500
2.41,127.74588286661643,40,1500
2.42,127.52237767803085,40,1500
2.43,128.05619695524672,40,1500
2.44,127.03764635121756,40,1500
2.45,127.95939486221714,40,1500
2.46,127.52123781181974,40,1500
2.47,127.42240685351054,40,1500
2.48,127.35428832816203,40,1500
2.49,127.93609235277296,40,1500
2.5,127.65787996173512,40,1500
2.51,127.26940136997572,40,1500
2.52,127.65738092304228,40,1500
2.53,128.04580794768202,40,1500
2.54,128.0087669148368,40,1500
2.55,127.7597752626994,40,1500
2.56,127.49385621441108,40,1500
2.57,127.80638871527741,40,1500
2.58,128.2079856255626,40,1500
2.59,128.09417764999378,40,1500
2.6,127.77285842402631,40,1500
2.61,128.31629934341163,40,1500
2.62,126.7663331889005,40,1500
2.63,128.0400184296753,40,1500
2.64,127.62888884369379,40,1500
2.65,127.31871158652493,40,1500
2.66,127.25022001163738,40,1500
2.67,127.32856942042781,40,1500
2.68,128.0767888299743,40,1500
2.69,128.30067338631716,40,1500
2.7,127.3819594598934,40,1500
2.71,127.49641093221032,40,1500
2.72,128.21840916652562,40,1500
2.73,127.20506009239328,40,1500
2.74,127.70643425817248,40,1500
2.75,127.12670655672635,40,1500
2.76,127.99094418367902,40,1500
2.77,127.68878701015201,40,1500
2.78,126.9553710935129,40,1500
2.79,126.84602067396453,40,1500
2.8,127.6580899610443,40,1500
2.81,127.29785239096253,40,1500
2.82,128.18256440083297,40,1500
2.83,127.10102318411643,40,1500
2.84,127.56799906375568,40,1500
2.85,126.7760744332204,40,1500
2.86,127.16224618275459,40,1500
2.87,127.17526265811587,40,1500
2.88,127.24556949702514,40,1500
2.89,127.93092332526103,40,1500
2.9,127.76888745539813,40,1500
2.91,127.31225445061052,40,1500
2.92,127.66997924789096,40,1500
2.93,126.75044301791135,40,1500
2.94,127.66351984533522,40,1500
2.95,127.2548674751767,40,1500
2.96,128.26905951639813,40,1500
2.97,127.64536619827082,40,1500
2.98,127.471349357038,40,1500
2.99,128.0084148414364,40,1500
3,127.42383507098856,40,1500
3.01,127.7592166953281,40,1500
3.02,127.2092574951132,40,1500
3.03,127.93253708622193,40,1500
3.04,126.76623823115088,40,1500
3.05,127.53060208493598,40,1500
3.06,127.05511168772377,40,1500
3.07,128.0642785783642,40,1500
3.08,127.93477746313789,40,1500
3.09,127.41225661825328,40,1500
3.1,127.10923323478063,40,1500
3.11,127.00732557913663,40,1500
3.12,127.67696852453979,40,1500
3.13,127.43344617945064,40,1500
3.14,128.20425234803366,40,1500
3.15,127.3196376148446,40,1500
3.16,127.61934121241565,40,1500
3.17,127.21261710366758,40,1500
3.18,127.20288672778594,40,1500
3.19,127.63681924562957,40,1500
3.2,126.88352821965698,40,1500
3.21,126.8474988521311,40,1500
3.22,126.739057545797,40,1500
3.23,127.33546990665555,40,1500
3.24,127.78214522050095,40,1500
3.25,127.23693371449846,40,1500
3.26,127.21007006334239,40,1500
3.27,127.27184429125296,40,1500
3.28,127.66774692473739,40,1500
3.29,126.694544208701,40,1500
3.3,127.10347037915423,40,1500
3.31,127.18468480764797,40,1500
3.32,127.07507857133302,40,1500
3.33,127.53036248278818,40,1500
3.34,127.79632376650197,40,1500
3.35,126.78989434057266,40,1500
3.36,128.34375522163197,40,1500
3.37,127.47757459872011,40,1500
3.38,128.32082088069987,40,1500
3.39,127.62661074168662,40,1500
3.4,127.62484268568157,40,1500
3.41,129.12962315005058,40,1500
3.42,127.05851948694126,40,1500
3.43,126.65046722667938,40,1500
3.44,127.64725234607701,40,1500
3.45,127.71492812020469,40,1500
3.46,127.90694646684484,40,1500
3.47,127.64438812300247,40,1500
3.48,127.28204726364437,40,1500
3.49,126.96507782836191,40,1500
3.5,127.55738747099271,40,1500
3.51,127.42283106900527,40,1500
3.52,127.40900287368389,40,1500
3.53,127.29792970907535,40,1500
3.54,127.30505436577978,40,1500
3.55,127.47148838046051,40,1500
3.56,127.21135213591302,40,1500
3.57,127.64739396006576,40,1500
3.58,127.98217095049384,40,1500
3.59,127.9865221779403,40,1500
3.6,127.52083639105601,40,1500
3.61,127.39530015653837,40,1500
3.62,128.1582888593806,40,1500
3.63,128.22191115428882,40,1500
3.64,127.47011015269057,40,1500
3.65,128.27467417415633,40,1500
